episode:,reward
0,0.0
0,0.0
0,103.0
1,-28.0
2,-684.0
3,72.0
4,503.0
5,-656.0
6,-675.0
7,-688.0
8,-439.0
9,729.0
10,292.0
11,493.0
12,417.0
13,826.0
14,-176.0
15,100.0
16,635.0
17,621.0
18,-35.0
19,878.0
20,30.0
21,397.0
22,188.0
23,414.0
24,122.0
25,103.0
26,-74.0
27,401.0
28,16.0
29,-85.0
30,295.0
31,-126.0
32,441.0
33,263.0
34,-48.0
35,429.0
36,-65.0
37,329.0
38,152.0
39,493.0
40,44.0
41,400.0
42,-144.0
43,85.0
44,168.0
45,26.0
46,0.0
47,338.0
48,-51.0
49,595.0
50,633.0
51,218.0
52,825.0
53,716.0
54,493.0
55,20.0
56,-232.0
57,539.0
58,65.0
59,497.0
60,613.0
61,586.0
62,87.0
63,200.0
64,512.0
65,39.0
66,278.0
67,108.0
68,284.0
69,293.0
70,-54.0
71,563.0
72,493.0
73,148.0
74,367.0
75,720.0
76,443.0
77,376.0
78,-33.0
79,116.0
80,356.0
81,531.0
82,174.0
83,548.0
84,-88.0
85,497.0
86,849.0
87,-11.0
88,246.0
89,1037.0
90,104.0
91,621.0
92,236.0
93,60.0
94,-150.0
95,654.0
96,519.0
97,666.0
98,523.0
99,369.0
100,682.0
101,13.0
102,140.0
103,962.0
104,624.0
105,591.0
106,483.0
107,781.0
108,628.0
109,378.0
110,758.0
111,167.0
112,511.0
113,1197.0
114,872.0
115,875.0
116,898.0
117,716.0
118,845.0
119,204.0
120,878.0
121,459.0
122,480.0
123,936.0
124,1011.0
125,836.0
126,582.0
127,-133.0
128,233.0
129,617.0
130,558.0
131,-61.0
132,84.0
133,100.0
134,123.0
135,243.0
136,637.0
137,646.0
138,495.0
139,941.0
140,-122.0
141,81.0
142,-10.0
143,404.0
144,638.0
145,595.0
146,819.0
147,441.0
148,316.0
149,300.0
150,1118.0
151,733.0
152,357.0
153,110.0
154,-319.0
155,56.0
156,317.0
157,74.0
158,401.0
159,459.0
160,-223.0
161,945.0
162,313.0
163,700.0
164,92.0
165,603.0
166,456.0
167,1006.0
168,383.0
169,19.0
170,992.0
171,766.0
172,52.0
173,898.0
174,174.0
175,638.0
