,training record
0,-2060.0
1,-2880.0
2,-2429.0
3,-2466.0
4,-2806.0
5,-3013.0
6,-2711.0
7,-2809.0
8,-2548.0
9,-3100.0
10,-2894.0
11,-2460.0
12,-1553.0
13,-2842.0
14,-2541.0
15,-3222.0
16,-2609.0
17,-2435.0
18,-2131.0
19,-1948.0
20,-2617.0
21,-2219.0
22,-1919.0
23,-1679.0
24,-1433.0
25,-1726.0
26,-1880.0
27,-1342.0
28,-810.0
29,-1691.0
30,-1073.0
31,-2186.0
32,-2336.0
33,-2795.0
34,-2783.0
35,-2959.0
36,-3016.0
37,-1830.0
38,-1596.0
39,-1514.0
40,-2489.0
41,-2580.0
42,-2092.0
43,-2209.0
44,-2855.0
45,-3002.0
46,-2171.0
47,-2340.0
48,-1812.0
49,-1837.0
50,-2359.0
51,-2664.0
52,-1325.0
53,-1508.0
54,-1401.0
55,-2456.0
56,-2442.0
57,-2603.0
58,-3159.0
59,-3937.0
60,-3051.0
61,-2472.0
62,-1565.0
63,-349.0
64,-1841.0
65,-2914.0
66,-1408.0
67,-1701.0
68,-2308.0
69,-1888.0
70,-1638.0
71,-920.0
72,-780.0
73,-381.0
74,-572.0
75,-1503.0
76,-1841.0
77,-2393.0
78,-2735.0
79,-3109.0
80,-2118.0
81,-1602.0
82,-287.0
83,-2031.0
84,-1568.0
85,-2182.0
86,-1457.0
87,-1373.0
88,-1334.0
89,-1388.0
90,-2451.0
91,-1865.0
92,-1459.0
93,-1517.0
94,-1262.0
95,-1001.0
96,-246.0
97,-620.0
98,-2133.0
99,-1708.0
100,-2474.0
101,-2459.0
102,-1285.0
103,-514.0
104,-595.0
105,-560.0
106,-2183.0
107,-788.0
108,-1611.0
109,-1563.0
110,-1173.0
111,-1334.0
112,-1926.0
113,-2320.0
114,-1208.0
115,-2086.0
116,-2496.0
117,-1419.0
118,-856.0
119,-1971.0
120,-1671.0
121,-1721.0
122,-1879.0
123,-1585.0
124,-988.0
125,-510.0
126,-1019.0
127,-362.0
128,-429.0
129,-1137.0
130,-1195.0
131,-571.0
132,-1829.0
133,-1601.0
134,-1762.0
135,-993.0
136,-2187.0
137,-2855.0
138,-1893.0
139,-1981.0
140,-2405.0
141,-2170.0
142,-1867.0
143,-1782.0
144,-2336.0
145,-2142.0
146,-839.0
147,-1928.0
148,-1502.0
149,-1192.0
150,-1157.0
151,-1237.0
152,-906.0
153,-958.0
154,-796.0
155,-1578.0
156,-355.0
157,-150.0
158,-667.0
159,-121.0
160,-1101.0
161,-929.0
162,-1505.0
163,134.0
164,-1157.0
165,-1252.0
166,-1656.0
167,-1347.0
168,-1523.0
169,-1866.0
170,-1967.0
171,-1370.0
172,-1535.0
173,-684.0
174,-1536.0
175,-1491.0
176,-1853.0
177,-451.0
178,-1208.0
179,-687.0
180,-917.0
181,-1438.0
182,-1256.0
183,-1401.0
184,412.0
185,-1062.0
186,308.0
187,-926.0
188,-625.0
189,-1068.0
190,-760.0
191,-611.0
192,-192.0
193,-409.0
194,-923.0
195,-1287.0
196,-1869.0
197,-1934.0
198,-1109.0
199,-915.0
200,-1725.0
201,-1737.0
202,-1577.0
203,-1582.0
204,-1778.0
205,-1495.0
206,-1614.0
207,-1663.0
208,-950.0
209,-622.0
210,-1331.0
211,-1155.0
212,-935.0
213,-1876.0
214,-582.0
215,-77.0
216,-1193.0
217,-1533.0
218,-811.0
219,-585.0
220,-1050.0
221,-983.0
222,-771.0
223,-421.0
224,67.0
225,-617.0
226,-332.0
227,-1237.0
228,-573.0
229,-222.0
230,342.0
231,-148.0
232,-1609.0
233,-791.0
234,-2164.0
235,-1315.0
236,-758.0
237,-1301.0
238,-1116.0
239,-1684.0
240,-1485.0
241,-1556.0
242,-1249.0
243,-751.0
244,-839.0
245,-611.0
246,-91.0
247,64.0
248,-194.0
249,40.0
250,318.0
251,914.0
252,828.0
253,327.0
254,264.0
255,259.0
256,-119.0
257,73.0
258,149.0
259,6.0
260,435.0
261,510.0
262,1036.0
263,574.0
264,573.0
265,478.0
266,286.0
267,351.0
268,232.0
269,427.0
270,441.0
271,683.0
272,800.0
273,1106.0
274,501.0
275,341.0
276,357.0
277,71.0
278,160.0
279,-102.0
280,173.0
281,156.0
282,235.0
283,430.0
284,188.0
285,382.0
286,1284.0
287,1415.0
288,983.0
289,603.0
290,337.0
291,196.0
292,316.0
293,552.0
294,1144.0
295,882.0
296,581.0
297,167.0
298,262.0
299,247.0
300,259.0
301,364.0
302,227.0
303,135.0
304,416.0
305,718.0
306,660.0
307,718.0
308,1373.0
309,1227.0
310,1244.0
311,1116.0
312,573.0
313,394.0
314,434.0
315,367.0
316,385.0
317,494.0
318,531.0
319,923.0
320,1146.0
321,1270.0
322,1098.0
323,777.0
324,639.0
325,-36.0
326,272.0
327,193.0
328,190.0
329,571.0
330,1252.0
331,966.0
332,560.0
333,584.0
334,486.0
335,506.0
336,464.0
337,646.0
338,1193.0
339,1342.0
340,1259.0
341,1236.0
342,950.0
343,19.0
344,301.0
345,-28.0
346,150.0
347,308.0
348,321.0
349,1399.0
350,1623.0
351,1189.0
352,1278.0
353,1155.0
354,979.0
355,349.0
356,374.0
357,390.0
358,1027.0
359,1270.0
360,648.0
361,342.0
362,-38.0
363,60.0
364,114.0
365,98.0
366,81.0
367,185.0
368,-52.0
369,312.0
370,346.0
371,378.0
372,1048.0
373,1124.0
374,1560.0
375,1232.0
376,579.0
377,283.0
378,302.0
379,292.0
380,197.0
381,287.0
382,552.0
383,919.0
384,1608.0
385,1253.0
386,1215.0
387,295.0
388,300.0
389,156.0
390,47.0
391,159.0
392,-1.0
393,232.0
394,475.0
395,463.0
396,719.0
397,963.0
398,1182.0
399,1666.0
400,1161.0
401,662.0
402,354.0
403,369.0
404,180.0
405,392.0
406,334.0
407,274.0
408,387.0
409,496.0
410,758.0
411,1271.0
412,1033.0
413,1512.0
414,597.0
415,1584.0
416,201.0
417,271.0
418,208.0
419,133.0
420,317.0
421,157.0
422,373.0
423,336.0
424,746.0
425,921.0
426,1672.0
427,1236.0
428,1588.0
429,762.0
430,224.0
431,220.0
432,404.0
433,299.0
434,303.0
435,666.0
436,1199.0
437,1431.0
438,1733.0
439,1186.0
440,1338.0
441,379.0
442,90.0
443,357.0
444,767.0
445,765.0
446,388.0
447,1364.0
448,1528.0
449,1661.0
450,629.0
451,689.0
452,605.0
453,383.0
454,352.0
455,386.0
456,725.0
457,789.0
458,1062.0
459,1718.0
460,1797.0
461,1915.0
462,788.0
463,520.0
464,496.0
465,236.0
466,105.0
467,317.0
468,355.0
469,897.0
470,1219.0
471,1943.0
472,1896.0
473,1324.0
474,474.0
475,1322.0
476,613.0
477,330.0
478,372.0
479,422.0
480,1055.0
481,1093.0
482,1754.0
483,1565.0
484,1939.0
485,1464.0
486,784.0
487,364.0
488,153.0
489,107.0
490,265.0
491,684.0
492,991.0
493,1484.0
494,1796.0
495,1645.0
496,1683.0
497,1042.0
498,596.0
499,444.0
500,929.0
501,1102.0
502,1704.0
503,1839.0
504,1523.0
505,826.0
506,299.0
507,295.0
508,23.0
509,90.0
510,163.0
511,248.0
512,438.0
513,492.0
514,921.0
515,1262.0
516,1676.0
517,1887.0
518,1977.0
519,1908.0
520,1175.0
521,408.0
522,469.0
523,475.0
524,385.0
525,319.0
526,627.0
527,1039.0
528,1778.0
529,1965.0
530,1763.0
531,1607.0
532,953.0
533,579.0
534,358.0
535,183.0
536,984.0
537,899.0
538,1573.0
539,2096.0
540,1921.0
541,1887.0
542,870.0
543,937.0
544,552.0
545,316.0
546,566.0
547,361.0
548,1347.0
549,1692.0
550,1829.0
551,1730.0
552,1525.0
553,1179.0
554,549.0
555,501.0
556,208.0
557,652.0
558,731.0
559,1610.0
560,2099.0
561,1861.0
562,1290.0
563,947.0
564,986.0
565,446.0
566,420.0
567,362.0
568,422.0
569,813.0
570,1101.0
571,1829.0
572,1979.0
573,2139.0
574,2020.0
575,1606.0
576,852.0
577,496.0
578,925.0
579,1026.0
580,1253.0
581,1980.0
582,2101.0
583,1646.0
584,741.0
585,309.0
586,257.0
587,301.0
588,354.0
589,434.0
590,587.0
591,709.0
592,1352.0
593,1376.0
594,1698.0
595,1669.0
596,1687.0
597,1560.0
598,973.0
599,658.0
600,275.0
601,211.0
602,483.0
603,377.0
604,752.0
605,1448.0
606,1947.0
607,2127.0
608,2079.0
609,1945.0
610,1202.0
611,578.0
612,618.0
613,728.0
614,513.0
615,427.0
616,770.0
617,1589.0
618,1857.0
619,1979.0
620,2102.0
621,1858.0
622,1995.0
623,816.0
624,391.0
625,394.0
626,316.0
627,700.0
628,964.0
629,1249.0
630,2106.0
631,2037.0
632,2105.0
633,1609.0
634,1254.0
635,569.0
636,506.0
637,372.0
638,284.0
639,477.0
640,850.0
641,1253.0
642,1762.0
643,1983.0
644,1943.0
645,2127.0
646,1835.0
647,1568.0
648,688.0
649,820.0
650,565.0
651,478.0
652,913.0
653,1602.0
654,2110.0
655,2124.0
656,2053.0
657,1631.0
658,1235.0
659,571.0
660,588.0
661,746.0
662,1039.0
663,1561.0
664,1844.0
665,2185.0
666,2044.0
667,1512.0
668,808.0
669,673.0
670,445.0
671,478.0
672,583.0
673,729.0
674,1430.0
675,1887.0
676,2030.0
677,2122.0
678,1880.0
679,1054.0
680,918.0
681,380.0
682,400.0
683,358.0
684,516.0
685,1582.0
686,1566.0
687,1852.0
688,2218.0
689,2162.0
690,2155.0
691,1434.0
692,1499.0
693,1104.0
694,1425.0
695,1578.0
696,1570.0
697,2102.0
698,2177.0
699,1895.0
700,1379.0
701,1362.0
702,563.0
703,617.0
704,503.0
705,853.0
706,1476.0
707,1461.0
708,2083.0
709,1881.0
710,1820.0
711,1655.0
712,1657.0
713,793.0
714,936.0
715,2107.0
716,2100.0
717,2177.0
718,2394.0
719,2177.0
720,2036.0
721,1688.0
722,1056.0
723,1530.0
724,886.0
725,1189.0
726,1118.0
727,1709.0
728,1914.0
729,2364.0
730,2282.0
731,1984.0
732,1920.0
733,1187.0
734,1701.0
735,1818.0
736,1668.0
737,2074.0
738,2359.0
739,2054.0
740,1655.0
741,1890.0
742,1177.0
743,685.0
744,491.0
745,1207.0
746,1583.0
747,1598.0
748,2204.0
749,2261.0
750,2278.0
751,1014.0
752,1029.0
753,934.0
754,1038.0
755,847.0
756,667.0
757,1897.0
758,2068.0
759,2232.0
760,2222.0
761,2186.0
762,2098.0
763,829.0
764,721.0
765,401.0
766,342.0
767,881.0
768,1042.0
769,2094.0
770,2063.0
771,2189.0
772,2331.0
773,2092.0
774,2071.0
775,2011.0
776,1692.0
777,2114.0
778,2265.0
779,2230.0
780,2245.0
781,2043.0
782,2014.0
783,1849.0
784,1592.0
785,1472.0
786,1407.0
787,2146.0
788,2179.0
789,2285.0
790,2203.0
791,2214.0
792,2135.0
793,2367.0
794,2218.0
795,2215.0
796,2217.0
797,2302.0
798,2361.0
799,2323.0
800,2285.0
801,1753.0
802,1746.0
803,1783.0
804,1662.0
805,1704.0
806,1594.0
807,1844.0
808,1804.0
809,2042.0
810,2253.0
811,2367.0
812,2271.0
813,2230.0
814,1811.0
815,1628.0
816,1474.0
817,1211.0
818,954.0
819,1154.0
820,2235.0
821,2381.0
822,2313.0
823,2275.0
824,2273.0
825,1788.0
826,1251.0
827,1116.0
828,975.0
829,1591.0
830,1867.0
831,1977.0
832,2410.0
833,2279.0
834,2175.0
835,2124.0
836,2154.0
837,1847.0
838,2170.0
839,2030.0
840,1825.0
841,1741.0
842,1836.0
843,2100.0
844,2228.0
845,2196.0
846,2428.0
847,2249.0
848,2136.0
849,2007.0
850,2152.0
851,1999.0
852,2092.0
853,1838.0
854,1959.0
855,2224.0
856,2205.0
857,2284.0
858,2091.0
859,2035.0
860,1479.0
861,1351.0
862,1081.0
863,1321.0
864,1759.0
865,1939.0
866,2179.0
867,2138.0
868,2332.0
869,2140.0
870,2009.0
871,2257.0
872,2135.0
873,2380.0
874,2051.0
875,1881.0
876,2238.0
877,2180.0
878,2310.0
879,2305.0
880,1736.0
881,2272.0
882,2154.0
883,1573.0
884,1133.0
885,1274.0
886,1462.0
887,2176.0
888,2219.0
889,2194.0
890,1307.0
891,1617.0
892,2120.0
893,2197.0
894,1967.0
895,2089.0
896,2257.0
897,2045.0
898,2264.0
899,2116.0
900,2252.0
901,2228.0
902,2371.0
903,2339.0
904,2324.0
905,2214.0
906,2161.0
907,1867.0
908,2216.0
909,2190.0
910,2223.0
911,1767.0
912,2000.0
913,1644.0
914,1625.0
915,1273.0
916,1288.0
917,1853.0
918,1876.0
919,2184.0
920,2337.0
921,2342.0
922,2033.0
923,2208.0
924,2038.0
925,2150.0
926,1809.0
927,1791.0
928,2084.0
929,2365.0
930,2277.0
931,2214.0
932,2282.0
933,2212.0
934,2195.0
935,2234.0
936,2193.0
937,2207.0
938,2319.0
939,2314.0
940,2425.0
941,2188.0
942,1998.0
943,2038.0
944,1813.0
945,1934.0
946,1891.0
