episode:,reward
0,0.0
0,0.0
0,23.0
1,438.0
2,324.0
3,-180.0
4,522.0
5,608.0
6,916.0
7,472.0
8,698.0
9,944.0
10,498.0
11,562.0
12,358.0
13,506.0
14,976.0
15,740.0
16,492.0
17,606.0
18,1010.0
19,647.0
20,490.0
21,736.0
22,999.0
23,720.0
24,883.0
25,790.0
26,132.0
27,832.0
28,160.0
29,638.0
30,-96.0
31,1130.0
32,1170.0
33,991.0
34,-299.0
35,940.0
36,-188.0
37,788.0
38,454.0
39,614.0
40,440.0
41,454.0
42,32.0
43,773.0
44,827.0
45,830.0
46,878.0
47,929.0
48,674.0
49,563.0
50,560.0
51,832.0
52,334.0
53,344.0
54,684.0
55,193.0
56,288.0
57,478.0
58,542.0
59,934.0
60,646.0
61,-97.0
62,726.0
63,-46.0
64,884.0
65,610.0
66,447.0
67,958.0
68,-476.0
69,708.0
70,696.0
71,590.0
72,-70.0
73,790.0
74,370.0
75,-328.0
76,593.0
77,723.0
78,861.0
79,568.0
80,1040.0
81,843.0
82,256.0
83,-180.0
84,495.0
85,514.0
86,462.0
87,-223.0
88,797.0
89,735.0
90,717.0
91,20.0
92,-69.0
93,327.0
94,154.0
95,17.0
96,69.0
97,-282.0
98,11.0
99,-229.0
100,-48.0
101,-96.0
102,770.0
103,230.0
104,-69.0
105,-210.0
106,706.0
107,-77.0
108,236.0
109,-68.0
110,-127.0
111,826.0
112,677.0
113,-187.0
114,382.0
115,105.0
116,164.0
117,776.0
118,633.0
119,442.0
120,600.0
121,-144.0
122,636.0
123,100.0
124,836.0
125,-277.0
126,123.0
127,175.0
128,669.0
129,519.0
130,544.0
131,588.0
132,611.0
133,619.0
134,114.0
135,833.0
136,680.0
137,660.0
138,609.0
139,-150.0
140,-59.0
141,100.0
142,177.0
143,512.0
144,12.0
145,-46.0
146,705.0
147,20.0
148,-102.0
149,-48.0
150,21.0
151,125.0
152,528.0
153,-17.0
154,91.0
155,627.0
156,56.0
157,-170.0
158,38.0
159,51.0
160,680.0
161,492.0
162,777.0
163,-26.0
164,13.0
165,14.0
166,47.0
167,636.0
168,23.0
169,170.0
170,-15.0
171,842.0
172,28.0
173,-155.0
174,1.0
