episode:,reward
0,0.0
0,0.0
0,-567.0
1,493.0
2,-75.0
3,-287.0
4,790.0
5,-871.0
6,-619.0
7,-687.0
8,1556.0
9,617.0
10,251.0
11,912.0
12,-19.0
13,417.0
14,957.0
15,362.0
16,932.0
17,135.0
18,-129.0
19,574.0
20,935.0
21,441.0
22,432.0
23,130.0
24,617.0
25,805.0
26,1075.0
27,-111.0
28,333.0
29,-353.0
30,-537.0
31,-190.0
32,392.0
33,242.0
34,243.0
35,26.0
36,126.0
37,1269.0
38,243.0
39,127.0
40,752.0
41,210.0
42,381.0
43,-545.0
44,441.0
45,666.0
46,663.0
47,-121.0
48,-344.0
49,326.0
50,-105.0
51,411.0
52,116.0
53,616.0
54,293.0
55,874.0
56,522.0
57,-47.0
58,504.0
59,538.0
60,764.0
61,227.0
62,117.0
63,637.0
64,699.0
65,75.0
66,614.0
67,669.0
68,459.0
69,243.0
70,996.0
71,510.0
72,407.0
73,855.0
74,-742.0
75,449.0
76,537.0
77,442.0
78,542.0
79,719.0
80,163.0
81,553.0
82,266.0
83,805.0
84,62.0
85,519.0
86,261.0
87,105.0
88,-13.0
89,-103.0
90,673.0
91,683.0
92,259.0
93,983.0
94,806.0
95,813.0
96,127.0
97,277.0
98,523.0
99,1104.0
100,503.0
101,501.0
102,407.0
103,523.0
104,1198.0
105,414.0
106,746.0
107,664.0
108,-225.0
109,561.0
110,497.0
111,474.0
112,1093.0
113,777.0
114,1144.0
115,1010.0
116,331.0
117,298.0
118,1038.0
119,459.0
120,461.0
121,830.0
122,883.0
123,934.0
124,958.0
125,981.0
126,649.0
127,1033.0
128,969.0
129,974.0
130,905.0
131,877.0
132,534.0
133,1160.0
134,425.0
135,1255.0
136,585.0
137,897.0
138,1067.0
139,1022.0
140,231.0
141,429.0
142,503.0
143,313.0
144,346.0
145,521.0
146,359.0
147,556.0
148,707.0
149,381.0
150,828.0
151,810.0
152,848.0
153,639.0
154,906.0
155,590.0
156,779.0
157,500.0
158,1306.0
159,520.0
160,741.0
161,599.0
162,575.0
163,1009.0
164,185.0
165,1133.0
166,-39.0
167,1151.0
168,304.0
169,331.0
170,999.0
171,304.0
172,762.0
173,611.0
174,1049.0
