episode:,reward
0,0.0
0,28.0
1,-26.0
2,-72.0
3,-58.0
4,-56.0
5,-39.0
6,-38.0
7,-40.0
8,-29.0
9,6.0
10,344.0
11,3.0
12,-19.0
13,-17.0
14,302.0
15,9.0
16,5.0
17,-58.0
18,-66.0
19,-25.0
20,-65.0
21,-19.0
22,-7.0
23,27.0
24,-123.0
25,9.0
26,-8.0
27,-98.0
28,-58.0
29,-107.0
30,-14.0
31,-79.0
32,-52.0
33,-52.0
34,-35.0
35,46.0
36,-140.0
37,-18.0
38,-50.0
39,-114.0
40,-23.0
41,-15.0
42,-5.0
43,-54.0
44,338.0
45,57.0
46,436.0
47,318.0
48,388.0
49,374.0
50,-9.0
51,45.0
52,442.0
53,9.0
54,156.0
55,164.0
56,113.0
57,78.0
58,69.0
59,360.0
60,310.0
61,65.0
62,326.0
63,57.0
64,342.0
65,39.0
66,408.0
67,310.0
68,90.0
69,304.0
70,314.0
71,39.0
72,98.0
73,43.0
74,7.0
75,364.0
76,15.0
77,370.0
78,13.0
79,340.0
80,1.0
81,348.0
82,344.0
83,386.0
84,448.0
85,53.0
86,390.0
87,-1.0
88,386.0
89,9.0
90,304.0
91,-14.0
92,-7.0
93,436.0
94,406.0
95,344.0
96,334.0
97,51.0
98,68.0
99,29.0
100,328.0
101,25.0
102,33.0
103,362.0
104,374.0
105,-5.0
106,314.0
107,9.0
108,386.0
109,134.0
110,11.0
111,452.0
112,52.0
113,69.0
114,426.0
115,19.0
116,422.0
117,366.0
118,400.0
119,370.0
120,362.0
121,53.0
122,21.0
123,356.0
124,40.0
125,416.0
126,-13.0
127,59.0
128,420.0
129,390.0
130,43.0
131,314.0
132,76.0
133,21.0
134,-10.0
135,7.0
136,326.0
137,39.0
138,340.0
139,322.0
140,346.0
141,107.0
142,5.0
143,404.0
144,302.0
145,338.0
146,444.0
147,27.0
148,388.0
149,33.0
150,144.0
151,93.0
152,-9.0
153,339.0
154,342.0
155,132.0
156,382.0
157,340.0
158,130.0
159,350.0
