step:,stepreward
0,6
0,6
0,2
0,6
0,4
0,2
0,6
0,6
0,6
0,6
0,2
0,4
0,2
0,-13
0,2
0,2
0,6
0,6
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,6
0,2
0,2
0,2
0,-8
0,-8
0,-8
0,-8
0,-4
0,-4
0,-4
0,-4
0,6
0,2
0,2
0,2
0,6
0,2
0,2
0,-8
0,-8
0,-8
0,-8
0,-4
0,-8
0,-4
0,-4
0,6
0,6
0,2
0,2
0,2
0,-3
0,-8
0,-8
0,-8
0,-8
0,-4
0,-4
0,6
0,6
0,2
0,2
0,2
0,-8
0,-8
0,-8
0,-8
0,-8
0,-19
0,6
0,2
0,2
0,-8
0,6
0,2
0,2
0,-13
0,2
0,2
0,2
0,6
0,2
0,2
0,2
0,6
0,2
0,2
0,2
0,2
0,-8
0,-8
0,2
0,2
0,2
0,2
0,-8
0,2
0,6
0,6
0,2
0,2
0,6
0,2
0,2
0,2
0,2
0,6
0,2
0,2
0,-8
0,-8
0,-8
0,-8
0,-19
0,2
0,6
0,2
0,2
0,-8
0,-8
0,-8
0,-8
0,-4
0,-4
0,-8
0,6
0,6
0,6
0,2
0,6
0,2
0,2
0,-8
0,-4
0,-8
0,-8
0,-4
0,-8
0,-4
0,2
0,6
0,2
0,2
0,2
0,6
0,6
0,2
0,2
0,6
0,2
0,2
0,2
0,2
0,2
0,-8
0,-8
0,-8
0,-4
0,-4
0,6
0,6
0,6
0,2
0,2
0,2
0,2
0,-8
0,-8
0,-4
0,-8
0,-8
0,-4
0,-4
0,6
0,6
0,2
0,2
0,6
0,2
0,-8
0,-8
0,-8
0,-8
0,-4
0,-4
0,6
0,6
0,2
0,2
0,6
0,2
0,2
0,2
0,-8
0,-8
0,-8
0,-8
0,-8
0,-4
0,-4
0,6
0,6
0,2
0,2
0,2
0,2
0,-8
0,-8
0,-8
0,-4
0,-8
0,-8
0,-4
0,-4
0,6
0,6
0,2
0,2
0,2
0,-8
0,-8
0,-8
0,-8
0,-4
0,-4
0,-4
0,6
0,6
0,2
0,6
0,2
0,2
0,2
0,2
0,-8
0,-8
0,-4
0,-8
0,-8
0,-4
0,-8
0,-4
0,-4
0,-4
0,1
0,6
0,6
0,2
0,2
0,2
0,-8
0,-8
0,-8
0,-4
0,-4
0,-4
0,6
0,6
0,6
0,2
0,2
0,2
0,-8
0,-8
0,-23
0,2
0,2
0,2
0,2
0,-8
0,-8
0,-8
0,-8
0,-4
0,-4
0,-4
0,-4
0,6
0,6
0,2
0,2
0,2
0,2
0,6
0,6
0,2
0,2
0,-8
0,-8
0,-4
0,-8
0,-8
0,-8
0,-8
0,-4
0,-4
0,6
0,6
0,6
0,2
0,2
0,2
0,2
0,-8
0,-8
0,-8
0,-8
0,-4
0,-21
0,2
0,2
0,-8
0,2
0,2
0,2
0,2
0,-8
0,-8
0,-8
0,-8
0,-4
0,-4
0,-4
0,6
0,2
0,2
0,2
0,-8
0,-8
0,-8
0,-4
0,-4
0,6
0,6
0,2
0,2
0,2
0,-4
0,6
0,-3
0,-8
0,-8
0,-8
0,-4
0,-4
0,6
0,4
0,6
0,6
0,2
0,2
0,2
0,-4
0,6
0,-8
0,-8
0,-4
0,-8
0,-8
0,-8
0,-8
0,-4
0,-4
0,6
0,2
0,4
0,2
0,2
0,2
0,2
0,2
0,-8
0,-8
0,-8
0,-4
0,-8
0,-8
0,-8
0,-8
0,-8
0,-4
0,-4
0,-4
0,-4
0,-4
0,6
0,6
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,-8
0,-8
0,-4
0,6
0,2
0,2
0,6
0,2
0,2
0,2
0,-8
0,-4
0,-8
0,-8
0,-8
0,-8
0,-8
0,-8
0,-8
0,-8
0,-8
0,-8
0,-4
0,-4
0,6
0,6
0,2
0,2
0,2
0,4
0,2
0,2
0,6
0,2
0,6
0,6
0,6
0,2
0,2
0,2
0,2
0,6
0,2
0,2
0,6
0,6
0,2
0,6
0,2
0,2
0,2
0,6
0,6
0,2
0,2
0,2
0,2
0,2
